Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
12/15/2018,0,0,1,0,0,1,1,30309
12/16/2018,0,0,0,0,0,0,0,30309
12/17/2018,0,1,0,0,0,1,1,30309
12/18/2018,0,0,1,0,0,1,1,30309
12/19/2018,0,1,0,0,1,0,1,30309
12/20/2018,0,0,0,0,0,0,0,30309
12/21/2018,0,4,2,0,0,6,6,30309
12/22/2018,0,0,0,0,0,0,0,30309
12/23/2018,0,0,1,0,0,1,1,30309
12/24/2018,0,0,0,0,0,0,0,30309
12/25/2018,0,0,0,0,0,0,0,30309
12/26/2018,0,0,0,0,0,0,0,30309
12/27/2018,0,1,0,0,0,1,1,30309
12/28/2018,0,0,1,0,0,1,1,30309
12/29/2018,0,0,2,0,0,2,2,30309
12/30/2018,0,0,0,0,0,0,0,30309
12/31/2018,0,0,3,0,0,3,3,30309
01/01/2019,0,0,1,1,0,2,2,30309
01/02/2019,0,2,4,0,1,5,6,30309
01/03/2019,0,1,1,0,1,1,2,30309
01/04/2019,0,1,3,0,1,3,4,30309
01/05/2019,0,0,0,0,0,0,0,30309
01/06/2019,0,0,0,0,0,0,0,30309
01/07/2019,0,3,4,0,1,6,7,30309
01/08/2019,0,3,0,0,2,1,3,30309
01/09/2019,0,3,0,0,2,1,3,30309
01/10/2019,0,3,1,0,1,3,4,30309
01/11/2019,0,1,1,0,1,1,2,30309
01/12/2019,0,0,1,0,0,1,1,30309
01/13/2019,0,0,0,0,0,0,0,30309
01/14/2019,0,3,2,0,1,4,5,30309
01/15/2019,0,1,1,0,0,2,2,30309
01/16/2019,0,2,1,0,1,2,3,30309
01/17/2019,0,5,1,0,2,4,6,30309
01/18/2019,0,3,0,0,1,2,3,30309
01/19/2019,0,0,1,1,0,2,2,30309
01/20/2019,0,0,0,0,0,0,0,30309
01/21/2019,0,1,0,0,1,0,1,30309
01/22/2019,0,4,1,0,2,3,5,30309
01/23/2019,0,2,0,0,1,1,2,30309
01/24/2019,0,3,2,0,0,5,5,30309
01/25/2019,0,0,3,0,0,3,3,30309
01/26/2019,0,0,1,0,0,1,1,30309
01/27/2019,0,0,0,0,0,0,0,30309
01/28/2019,0,2,3,0,1,4,5,30309
01/29/2019,0,1,0,0,1,0,1,30309
01/30/2019,0,1,1,0,1,1,2,30309
01/31/2019,0,6,0,0,2,4,6,30309
02/01/2019,0,2,1,0,2,1,3,30309
02/02/2019,0,0,1,0,0,1,1,30309
02/03/2019,0,0,0,1,0,1,1,30309
02/04/2019,0,0,0,0,0,0,0,30309
02/05/2019,0,0,0,0,0,0,0,30309
02/06/2019,0,4,2,0,2,4,6,30309
02/07/2019,0,3,1,0,2,2,4,30309
02/08/2019,0,4,1,0,4,1,5,30309
02/09/2019,0,0,0,0,0,0,0,30309
02/10/2019,0,0,2,0,0,2,2,30309
02/11/2019,0,5,1,0,2,4,6,30309
02/12/2019,0,5,0,0,4,1,5,30309
02/13/2019,0,0,0,0,0,0,0,30309
02/14/2019,0,1,0,0,0,1,1,30309
02/15/2019,0,3,0,0,1,2,3,30309
02/16/2019,0,0,0,0,0,0,0,30309
02/17/2019,0,0,2,1,0,3,3,30309
02/18/2019,0,3,0,0,2,1,3,30309
02/19/2019,0,1,0,0,0,1,1,30309
02/20/2019,0,3,1,0,2,2,4,30309
02/21/2019,0,2,0,0,1,1,2,30309
02/22/2019,0,1,2,0,0,3,3,30309
