Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
30374,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30375,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30376,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30377,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30378,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30379,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30380,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30381,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30384,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30385,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30386,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30387,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30388,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30389,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30390,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30392,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30394,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30396,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30398,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30399,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30401,Swainsboro,GA,32.605196,-82.3391,-5,1,32.605196
30410,Ailey,GA,32.196136,-82.50985,-5,1,32.196136
30411,Alamo,GA,32.146031,-82.792,-5,1,32.146031
30412,Alston,GA,32.083879,-82.47988,-5,1,32.083879
30413,Bartow,GA,32.884137,-82.50969,-5,1,32.884137
30414,Bellville,GA,32.15499,-81.97826,-5,1,32.15499
30415,Brooklet,GA,32.3456,-81.62339,-5,1,32.3456
30417,Claxton,GA,32.162077,-81.90984,-5,1,32.162077
30420,Cobbtown,GA,32.301639,-82.11842,-5,1,32.301639
30421,Collins,GA,32.186824,-82.10699,-5,1,32.186824
30423,Daisy,GA,32.150061,-81.83478,-5,1,32.150061
30424,Dover,GA,32.767634,-81.629062,-5,1,32.767634
30425,Garfield,GA,32.632683,-82.036,-5,1,32.632683
30426,Girard,GA,33.032445,-81.63251,-5,1,33.032445
30427,Glennville,GA,31.945767,-81.93594,-5,1,31.945767
30428,Glenwood,GA,32.190739,-82.69115,-5,1,32.190739
30429,Hagan,GA,32.159458,-81.93724,-5,1,32.159458
30434,Louisville,GA,33.008983,-82.378,-5,1,33.008983
30436,Lyons,GA,32.177508,-82.30448,-5,1,32.177508
30438,Manassas,GA,32.152792,-82.01301,-5,1,32.152792
30439,Metter,GA,32.414401,-82.05534,-5,1,32.414401
30441,Midville,GA,32.792831,-82.23715,-5,1,32.792831
30442,Millen,GA,32.802448,-81.98381,-5,1,32.802448
30444,East Point,GA,33.696073,-84.450276,-5,1,33.696073
30445,Mount Vernon,GA,32.186824,-82.59171,-5,1,32.186824
30446,Newington,GA,32.567281,-81.48627,-5,1,32.567281
30447,Norristown,GA,32.505913,-82.49502,-5,1,32.505913
30448,Nunez,GA,32.49126,-82.36787,-5,1,32.49126
30449,Oliver,GA,32.528104,-81.533198,-5,1,32.528104
30450,Portal,GA,32.555659,-81.9242,-5,1,32.555659
30451,Pulaski,GA,32.414349,-82.086658,-5,1,32.414349
30452,Register,GA,32.327219,-81.89818,-5,1,32.327219
30453,Reidsville,GA,32.057356,-82.1214,-5,1,32.057356
30454,Rockledge,GA,32.432854,-82.72979,-5,1,32.432854
30455,Rocky Ford,GA,32.697762,-81.81036,-5,1,32.697762
30456,Sardis,GA,32.969028,-81.79396,-5,1,32.969028
30457,Soperton,GA,32.387041,-82.58272,-5,1,32.387041
30458,Statesboro,GA,32.423083,-81.80677,-5,1,32.423083
30459,Statesboro,GA,32.447036,-81.77772,-5,1,32.447036
30460,Statesboro,GA,32.41795,-81.78233,-5,1,32.41795
30461,Statesboro,GA,32.4906,-81.73166,-5,1,32.4906
30464,Stillmore,GA,32.439708,-82.22278,-5,1,32.439708
30466,Summertown,GA,32.566594,-82.324475,-5,1,32.566594
30467,Sylvania,GA,32.754635,-81.63543,-5,1,32.754635
30470,Tarrytown,GA,32.309128,-82.52255,-5,1,32.309128
30471,Twin City,GA,32.547214,-82.17048,-5,1,32.547214
30473,Uvalda,GA,32.03096,-82.48797,-5,1,32.03096
30474,Vidalia,GA,32.220155,-82.41493,-5,1,32.220155
30475,Vidalia,GA,32.177513,-82.373889,-5,1,32.177513
30477,Wadley,GA,32.872098,-82.4023,-5,1,32.872098
30499,Reidsville,GA,32.050694,-81.998348,-5,1,32.050694
30501,Gainesville,GA,34.306643,-83.82352,-5,1,34.306643
30502,Chestnut Mountain,GA,34.212993,-83.794858,-5,1,34.212993
30503,Gainesville,GA,34.345432,-83.950541,-5,1,34.345432
30504,Gainesville,GA,34.274355,-83.87003,-5,1,34.274355
30505,Gainesville,GA,34.306188,-83.838936,-5,1,34.306188
30506,Gainesville,GA,34.346102,-83.901,-5,1,34.346102
30507,Gainesville,GA,34.253714,-83.77348,-5,1,34.253714
30510,Alto,GA,34.455729,-83.58913,-5,1,34.455729
30511,Baldwin,GA,34.469971,-83.50035,-5,1,34.469971
30512,Blairsville,GA,34.875556,-84.00419,-5,1,34.875556
30513,Blue Ridge,GA,34.851171,-84.32905,-5,1,34.851171
30514,Blairsville,GA,34.903398,-84.019157,-5,1,34.903398
30515,Buford,GA,33.960353,-84.037859,-5,1,33.960353
30516,Bowersville,GA,34.370551,-83.05998,-5,1,34.370551
30517,Braselton,GA,34.121974,-83.78604,-5,1,34.121974
30518,Buford,GA,34.12115,-84.01804,-5,1,34.12115
