Location,Address,,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,
,30308, USA,5/26/2018,83.8,69.4,75.6,,86.6,0,,8.9,,61.1,79.93,Partially cloudy,
,30308, USA,5/27/2018,82,68.1,75.3,,85.3,0,,9,,49.1,78.02,Partially cloudy,
,30308, USA,5/28/2018,82.7,68.6,73.1,,88.2,0.3,,11.2,,92.8,90.08,"Rain, Overcast",
,30308, USA,5/29/2018,80,70.3,74.3,,,0.8,,13.4,49.4,88.9,89.6,"Rain, Overcast",
,30308, USA,5/30/2018,81.3,71.7,76,,84.8,0.2,,12,,68.8,83.12,"Rain, Partially cloudy",
,30308, USA,5/31/2018,86.2,70,77.3,,92.2,0,,9.1,,54.4,81.01,Partially cloudy,
,30308, USA,6/1/2018,87.7,67.1,73,,95.2,0.9,,12.3,44.7,43.8,85.59,"Rain, Partially cloudy",
,30308, USA,6/2/2018,88,67.9,77.2,,93.6,0,,12.1,,50.9,79.03,Partially cloudy,
,30308, USA,6/3/2018,91.5,70.5,80.7,,98.2,0,,10.8,,21,73.78,Clear,
,30308, USA,6/4/2018,83.8,64.9,75.6,,82.6,0,,14.2,,7.8,54.15,Clear,
,30308, USA,6/5/2018,80.3,61.5,71.8,,80.4,0,,8.9,,19.5,60.74,Clear,
,30308, USA,6/6/2018,90,60.7,76.1,,87.8,0,,10,,11.2,58.55,Clear,
,30308, USA,6/7/2018,88.8,65.9,78.2,,88.5,0,,6.9,,17.9,59.81,Clear,
,30308, USA,6/8/2018,87.2,69.5,76.4,,89.8,0.1,,13.4,35.6,37.8,73.14,"Rain, Partially cloudy",
,30308, USA,6/9/2018,86.4,68,77.5,,89.7,0,,9.3,,27,73.67,Partially cloudy,
,30308, USA,6/10/2018,87.5,67.6,76.5,,90.5,0.1,,9.7,,23.1,76.02,"Rain, Clear",
,30308, USA,6/11/2018,86,69.4,74.5,,90.6,0.5,,9.2,,31.4,81.99,"Rain, Partially cloudy",
,30308, USA,6/12/2018,81,67.8,73.9,,84.6,0,,8.5,,56.2,83.22,Partially cloudy,
,30308, USA,6/13/2018,86.5,71.2,76.6,,91.3,0.5,,9.6,,76.8,80.36,"Rain, Overcast",
,30308, USA,6/14/2018,85.9,70.9,77.2,,89.6,0,,8.1,,40.9,80.96,Partially cloudy,
,30308, USA,6/15/2018,91.2,70.9,80.2,,95.1,0.1,,6.9,,30.6,74.83,"Rain, Partially cloudy",
,30308, USA,6/16/2018,90,72.3,80.2,,95.6,0.4,,8.8,,39,77.43,"Rain, Partially cloudy",
,30308, USA,6/17/2018,88.4,71.2,77.9,,94,0.1,,8.5,,49.7,78.98,"Rain, Partially cloudy",
,30308, USA,6/18/2018,90,70.3,79.9,,94.9,0,,8.4,,23.7,72.18,Clear,
,30308, USA,6/19/2018,91.8,74.5,83.4,,97.9,0,,11.2,,17.9,66.58,Clear,
,30308, USA,6/20/2018,91.3,74.6,83.6,,93.3,0,,13.1,,12.4,61.31,Clear,
,30308, USA,6/21/2018,87.3,74.7,79.9,,93.2,0.2,,13.4,,44.7,74.83,"Rain, Partially cloudy",
,30308, USA,6/22/2018,89.9,71.2,77,,92.6,1,,14.9,41.4,36.1,80.06,"Rain, Partially cloudy",
,30308, USA,6/23/2018,82.8,71.2,76.7,,88.3,0.1,,11.9,,61.2,82.74,"Rain, Partially cloudy",
,30308, USA,6/24/2018,91.1,71.7,81.5,,100.3,0.1,,10.9,,25.4,76.45,"Rain, Partially cloudy",
,30308, USA,6/25/2018,88.8,70.9,78,,99,0.7,,12,39.1,32.2,83.31,"Rain, Partially cloudy",
,30308, USA,6/26/2018,90.2,68.6,79,,97.4,0,,6.2,,32.3,77.68,Partially cloudy,
,30308, USA,6/27/2018,88.9,70,76.6,,96.2,0.5,,15.8,34,47.5,81.33,"Rain, Partially cloudy",
,30308, USA,6/28/2018,79.3,69.2,71.1,,,0.4,,18.6,42.5,53.2,91.75,"Rain, Partially cloudy",
,30308, USA,6/29/2018,88.9,66.5,76.4,,95.3,0.2,,7.1,,42.9,81.82,"Rain, Partially cloudy",
,30308, USA,6/30/2018,90,72,80.3,,95.9,0,,10.3,,33.2,77.5,Partially cloudy,
,30308, USA,7/1/2018,85.1,72.7,78.5,,90.6,0.1,,8.9,,56.9,80.95,"Rain, Partially cloudy",
,30308, USA,7/2/2018,86.9,73.2,79.1,,92.8,0,,11.2,,63.5,80.63,Partially cloudy,
,30308, USA,7/3/2018,90.7,72.8,82.4,,94.9,0,,7.9,,26.9,69.89,Partially cloudy,
,30308, USA,7/4/2018,89.3,72.8,80.5,,94.9,0.4,,11.3,31.1,47.6,75.37,"Rain, Partially cloudy",
,30308, USA,7/5/2018,87.6,73.4,80.2,,93.5,0,,8.5,,47.5,76.53,Partially cloudy,
,30308, USA,7/6/2018,88.9,72.6,77.8,,95.5,0.9,,15.2,39.1,41.3,82.77,"Rain, Partially cloudy",
,30308, USA,7/7/2018,84,70.6,76.4,,88.6,0.2,,10.3,,55.2,82.91,"Rain, Partially cloudy",
,30308, USA,7/8/2018,83.6,70,76.4,,85.4,0,,12.2,,59.1,71.12,Partially cloudy,
,30308, USA,7/9/2018,88.2,66.8,77.7,,89.9,0,,7.8,,13.3,64.59,Clear,
,30308, USA,7/10/2018,91.3,69.6,80.9,,94.2,0,,8.6,,17.1,67.8,Clear,
,30308, USA,7/11/2018,92.2,72.3,82.7,,97.8,0,,8.4,,28.9,69.46,Partially cloudy,
,30308, USA,7/12/2018,92,74.7,83.5,,99.1,0,,10.8,,24.7,70.47,Clear,
,30308, USA,7/13/2018,88.6,75.1,80.3,,97.5,0.3,,9,,61.9,80.63,"Rain, Partially cloudy",
,30308, USA,7/14/2018,87.3,74.8,78.3,,95.1,1.4,,10.4,,81,85.82,"Rain, Overcast",
,30308, USA,7/15/2018,89.4,73.7,79.9,,97.7,0.2,,6.2,,64.7,81.02,"Rain, Partially cloudy",
,30308, USA,7/16/2018,85.5,74.4,78.4,,95,1.1,,10.5,31.1,63.4,86.2,"Rain, Partially cloudy",
,30308, USA,7/17/2018,89.9,72.7,80.5,,96,0,,9.8,,53.6,79,Partially cloudy,
,30308, USA,7/18/2018,91.5,74.1,82.3,,96.9,0,,7.6,,28.5,72.07,Partially cloudy,
,30308, USA,7/19/2018,88.9,73.2,79.6,,94.8,0,,11.9,,45,78.35,Partially cloudy,
,30308, USA,7/20/2018,86.9,74.1,78.9,,91,0,,8.6,,72.8,77.03,Partially cloudy,
,30308, USA,7/21/2018,87.9,68.7,77.4,,95,1,,9.4,40.3,48.4,80.93,"Rain, Partially cloudy",
,30308, USA,7/22/2018,86.3,69.7,76.9,,88.3,0.1,,12.6,,28.4,73.84,"Rain, Partially cloudy",
,30308, USA,7/23/2018,84.1,67.8,74.8,,86.7,0.4,,7.3,,65.5,79.96,"Rain, Partially cloudy",
,30308, USA,7/24/2018,83.6,71,75.9,,87.9,0.2,,6.7,,67.1,83.24,"Rain, Partially cloudy",
,30308, USA,7/25/2018,88.1,70.4,78.8,,92.4,0,,12.4,,27.4,74.03,Partially cloudy,
,30308, USA,7/26/2018,89.8,68.3,78.8,,89.4,0,,8.2,,11.1,66.8,Clear,
,30308, USA,7/27/2018,90.2,67.4,79.1,,92.2,0,,9.7,,20.5,68.18,Clear,
,30308, USA,7/28/2018,88.8,70.9,79.7,,87.7,0,,11.3,,22.1,61.59,Clear,
,30308, USA,7/29/2018,89.1,65.7,77.5,,88.5,0,,6,,15.9,63.95,Clear,
,30308, USA,7/30/2018,85.7,70.4,77.4,,92.4,0,,9.7,,58.7,82.08,Partially cloudy,
,30308, USA,7/31/2018,82.9,70.3,74.1,,89.3,1.2,,9.1,34.4,80.3,89.67,"Rain, Overcast",
,30308, USA,8/1/2018,75.8,70.3,72.2,,,1.2,,8.8,,94.8,95.4,"Rain, Overcast",
,30308, USA,8/2/2018,76.3,70.6,72.2,,,1.6,,8.3,,98.5,95.49,"Rain, Overcast",
,30308, USA,8/3/2018,85.6,70.6,76.9,,89.5,0.2,,10.2,,75.2,81.39,"Rain, Overcast",
,30308, USA,8/4/2018,86.9,70,78.6,,92.3,0,,7.3,,34,79.58,Partially cloudy,
,30308, USA,8/5/2018,90.6,71.9,80.6,,96.8,0,,8.2,,24.3,77.26,Clear,
,30308, USA,8/6/2018,92.4,73.8,83,,100.3,0,,8.6,,14.7,73.53,Clear,
,30308, USA,8/7/2018,90.4,73.8,80.8,,97.4,0.1,,16.7,39.1,29.9,76.26,"Rain, Partially cloudy",
,30308, USA,8/8/2018,90.8,71.8,79.3,,98.2,0.2,,12.1,49.4,32.2,76.97,"Rain, Partially cloudy",
,30308, USA,8/9/2018,87.4,70.8,75.9,,96.1,1,,16.8,39.1,32.6,87.8,"Rain, Partially cloudy",
,30308, USA,8/10/2018,88.1,70.6,77.9,,93.2,0,,9.2,,67.9,81.34,Partially cloudy,
,30308, USA,8/11/2018,86.3,73.5,79.1,,90.4,0,,10.8,,53.4,77.76,Partially cloudy,
,30308, USA,8/12/2018,89.5,70.5,79.5,,95.9,0,,9.5,,20.2,74.69,Clear,
,30308, USA,8/13/2018,88.1,70.1,78.5,,89,0,,8.6,,13.4,71.76,Clear,
,30308, USA,8/14/2018,89,66.7,77.9,,89.8,0,,9.6,,12.6,69.58,Clear,
,30308, USA,8/15/2018,91.1,67.9,79.2,,92.4,0,,5.7,,16.7,68.91,Clear,
,30308, USA,8/16/2018,89,69.9,80,,93.7,0,,8.6,,25.7,74.12,Partially cloudy,
,30308, USA,8/17/2018,85.1,73,78.2,,90.6,0,,9.4,,67,81.15,Partially cloudy,
,30308, USA,8/18/2018,84.8,73.3,76.4,,91.1,0.9,,10.9,,89.3,88.35,"Rain, Overcast",
,30308, USA,8/19/2018,83.4,72.7,76.5,,88.9,0.1,,8.6,,81.8,86.8,"Rain, Overcast",
,30308, USA,8/20/2018,84,72.2,75.9,,89.6,0.3,,7.7,,74.5,87.35,"Rain, Partially cloudy",
,30308, USA,8/21/2018,84.8,72.7,77.4,,92.2,0.2,,14,,86.6,84.42,"Rain, Overcast",
,30308, USA,8/22/2018,83.6,69,76.3,,86.1,0,,12.8,,43.3,76.07,Partially cloudy,
,30308, USA,8/23/2018,84.8,65.5,75.3,,85.8,0,,7.1,,29.4,70.49,Partially cloudy,
,30308, USA,8/24/2018,81.4,63,72.7,,82.6,0,,11.9,,31.4,67.5,Partially cloudy,
,30308, USA,8/25/2018,86.2,64.6,74.7,,87.9,0,,7.2,,29.7,66.23,Partially cloudy,
,30308, USA,8/26/2018,87.9,66.9,77.7,,90.4,0,,6.9,,17.5,70.87,Clear,
,30308, USA,8/27/2018,89.7,69.9,79.5,,93.2,0,,8.1,,16,71.37,Clear,
,30308, USA,8/28/2018,88.8,70.9,80,,93.9,0,,7.2,,25.6,74.19,Partially cloudy,
,30308, USA,8/29/2018,87.9,71.1,79.6,,93,0,,9.7,,27.5,76.06,Partially cloudy,
,30308, USA,8/30/2018,88.1,68.6,78,,91.5,0,,10.6,,24,74.39,Clear,
,30308, USA,8/31/2018,87.6,72.1,78.6,,90.3,0,,8.4,,30.3,73.07,Partially cloudy,
,30308, USA,9/1/2018,90.2,70.7,79.6,,93.7,0,,8.4,,30.1,72.74,Partially cloudy,
,30308, USA,9/2/2018,89.7,71.7,80,,92.3,0,,10,,41.2,71.82,Partially cloudy,
